key,year,vlow,low,mod,above,total
alameda,2018,1,0,0,180,181
alameda,2019,31,28,24,598,681
alameda,2020,93,61,2,142,298
alameda,2021,24,15,30,536,605
alameda,2022,64,17,23,139,243
alameda,2023,84,35,75,902,1096
alameda,2024,177,23,28,127,355
alameda,2025,17,15,15,18,65
albany,2018,0,0,17,0,17
albany,2019,0,0,24,7,31
albany,2020,0,1,24,11,36
albany,2021,0,0,19,0,19
albany,2022,32,29,36,0,97
albany,2023,1,3,7,0,11
albany,2024,4,6,2,0,12
albany,2025,23,8,7,190,228
american canyon,2018,8,11,0,143,162
american canyon,2019,1,0,0,0,1
american canyon,2020,2,3,0,0,5
american canyon,2021,132,75,2,144,353
american canyon,2022,152,105,3,88,348
american canyon,2023,5,0,2,78,85
american canyon,2024,179,107,3,259,548
american canyon,2025,8,4,0,150,162
antioch,2018,1,1,0,119,121
antioch,2019,2,0,12,279,293
antioch,2020,105,299,2,308,714
antioch,2021,12,19,1,564,596
antioch,2022,0,0,0,365,365
antioch,2023,11,11,11,351,384
antioch,2024,14,14,13,315,356
antioch,2025,15,15,14,131,175
atherton,2018,3,2,1,28,34
atherton,2019,8,2,0,19,29
atherton,2020,20,5,9,25,59
atherton,2021,18,5,9,30,62
atherton,2022,13,0,2,36,51
atherton,2023,11,8,1,91,111
atherton,2024,45,9,8,47,109
atherton,2025,9,3,6,42,60
belmont,2018,0,0,9,6,15
belmont,2019,0,0,12,0,12
belmont,2020,22,44,11,9,86
belmont,2021,0,38,12,218,268
belmont,2022,0,65,41,385,491
belmont,2023,6,6,7,6,25
belmont,2024,115,67,12,3,197
belmont,2025,28,25,6,7,66
belvedere,2019,0,0,1,1,2
belvedere,2020,0,0,2,0,2
belvedere,2021,0,0,2,0,2
belvedere,2022,0,0,5,0,5
belvedere,2023,0,0,11,1,12
belvedere,2024,1,0,1,2,4
belvedere,2025,18,4,4,2,28
benicia,2018,0,0,3,1,4
benicia,2019,0,0,3,1,4
benicia,2020,0,0,5,3,8
benicia,2021,0,0,9,2,11
benicia,2022,0,0,5,0,5
benicia,2023,0,0,1,10,11
benicia,2024,0,0,0,17,17
benicia,2025,4,2,0,1,7
berkeley,2018,4,0,0,376,380
berkeley,2019,13,0,0,350,363
berkeley,2020,85,101,0,580,766
berkeley,2021,56,0,0,450,506
berkeley,2022,88,58,0,741,887
berkeley,2023,64,53,29,286,432
berkeley,2024,81,35,30,588,734
berkeley,2025,84,126,46,207,463
brentwood,2018,0,0,22,323,345
brentwood,2019,0,5,28,661,694
brentwood,2020,1,6,42,935,984
brentwood,2021,1,1,16,724,742
brentwood,2023,6,9,25,292,332
brentwood,2024,7,6,7,35,55
brentwood,2025,7,7,12,97,123
brisbane,2018,0,0,5,1,6
brisbane,2019,0,0,11,7,18
brisbane,2020,0,0,2,1,3
brisbane,2021,0,0,7,5,12
brisbane,2022,2,2,2,5,11
brisbane,2023,2,1,2,1,6
brisbane,2024,3,1,1,1,6
brisbane,2025,4,2,1,2,9
burlingame,2018,0,0,29,271,300
burlingame,2019,0,0,0,10,10
burlingame,2020,82,35,28,142,287
burlingame,2021,0,38,15,421,474
burlingame,2022,0,43,0,308,351
burlingame,2023,106,49,21,823,999
burlingame,2024,3,13,21,15,52
burlingame,2025,12,17,12,25,66
calistoga,2018,0,0,4,6,10
calistoga,2019,0,1,2,10,13
calistoga,2020,0,6,0,3,9
calistoga,2021,0,0,0,15,15
calistoga,2022,0,12,68,4,84
calistoga,2023,0,0,0,8,8
calistoga,2024,0,2,0,24,26
calistoga,2025,2,0,0,24,26
campbell,2018,2,2,3,46,53
campbell,2019,2,2,3,82,89
campbell,2020,2,2,3,139,146
campbell,2021,4,2,3,207,216
campbell,2022,4,2,3,275,284
campbell,2023,13,11,13,381,418
campbell,2024,34,32,34,411,511
campbell,2025,48,47,48,477,620
clayton,2020,0,3,0,0,3
clayton,2021,0,2,0,0,2
clayton,2022,0,3,4,16,23
clayton,2023,0,0,0,0,0
clayton,2024,2,2,1,6,11
cloverdale,2018,0,0,0,14,14
cloverdale,2019,1,2,2,24,29
cloverdale,2020,0,0,0,3,3
cloverdale,2021,18,4,0,10,32
cloverdale,2022,75,25,3,4,107
cloverdale,2023,0,24,0,2,26
cloverdale,2024,54,20,0,27,101
cloverdale,2025,0,0,3,0,3
colma,2018,31,34,0,4,69
colma,2019,31,34,0,1,66
colma,2025,0,1,0,0,1
concord,2018,0,0,0,24,24
concord,2019,0,0,1,55,56
concord,2020,0,0,4,282,286
concord,2021,0,0,0,43,43
concord,2022,53,8,0,83,144
concord,2023,74,166,15,81,336
concord,2024,37,25,27,63,152
concord,2025,65,154,19,15,253
corte madera,2018,5,0,2,0,7
corte madera,2019,3,0,1,0,4
corte madera,2020,2,2,0,0,4
corte madera,2021,21,9,12,16,58
corte madera,2022,5,5,6,1,17
