jurisdiction,fipst,fipco,jobs_2020,households_2020,pop_2020,county,place_fips,key,permits1417_vlow,permits1417_low,permits1417_total,capacity5_units,density5_mean,n_sites5,jh_ratio_2020,rhna_very_low,rhna_low,rhna_moderate,rhna_above_moderate,rhna_total,permits1825_vlow,permits1825_low,permits1825_mod,permits1825_above,permits1825_total,permits2325_total,permits2325_vlow,permits2325_low,permits1825_adu,permits1825_mf24,permits1825_mf5,permits1825_sf,capacity6_units,capacity6_lower,density6_mean,sites6_vacant_share,n_sites6,capacity6_rezone_units,capacity_vintage,sf_share,mf_share,zhvi_latest,zhvi_yoy,zori_latest,zori_yoy,acs_geo,acs_units,acs_med_income,acs_med_rent,acs_med_value,acs_owner_share,acs_poc_share,place_fips5,nzlud_zri,nzlud_parking,nzlud_minlot,nzlud_adu_allowed,nzlud_mf_permitted,nzlud_approval_steps,jobs_2022,workers_2022,sb79_share,sb79_tier1_share,tpa_share,hqta_share,epc_share,hra_share,tra_share,jh_ratio_2022,permits1825_per_1k,permits1825_mf_per_1k,adu_share_1825,permits1825_belowmod_per_1k,capacity6_per_1k,capacity5_per_1k,cap_ratio_6_to_5,rhna_per_1k,rhna6_progress,rhna6_lowinc_progress,capacity_vs_rhna,mf_allowed_share,D_demand,C_capacity,F_friction,F_coverage,P_delivery,zmi_core,zmi_full,zmi_realized,C_capacity_5th,zmi_core_5th
Alameda,6,1,38905,34320,87460,Alameda,6001,alameda,51,33,339,4606.0,27.324324324324323,41.0,1.1335955710955712,1421,818,868,2246,5353,491,194,197,2642,3524,1516,278,73,431,26,3005,62,1030.0,658.0,12.625,0.25,16.0,1485.0,6th_cycle,0.4286849542485015,0.5713150457514985,1162241.2715284296,-0.0329651039242775,2883.3594459180663,0.0446942687851106,place,32320.0,151346.0,2437.0,1160500.0,0.5452041477640959,0.5984113086400954,0600562,,,,,,,30335.0,39066.0,0.09356119063190217,0.0,0.3576049153130613,0.5648842815733003,0.9942841827929334,0.36950501223412596,0.4433591753011659,0.9385829207920792,102.68065268065268,88.31585081585082,0.12230419977298525,19.95920745920746,30.011655011655012,134.2074592074592,0.2236213634389926,155.97319347319348,0.2832056790584719,0.15676641357748994,0.19241546796189052,0.5713150457514985,0.04031304009025605,0.7215467261766222,,False,0.3200506515208342,-0.6812336860863661,-0.6812336860863661,-0.2797376114305781,0.9894591225890549,-0.9491460824987988
Albany,6,1,4925,7630,19285,Alameda,6001,albany,0,0,210,761.0,57.526315789473685,61.0,0.645478374836173,308,178,175,453,1114,60,47,136,208,451,251,28,17,161,8,268,14,1195.0,509.0,22.876712328767123,0.1643835616438356,73.0,,6th_cycle,0.6952411050084158,0.3047588949915842,1272259.776754036,0.0094437923401773,3144.5833333333335,-0.0273997039262111,place,8070.0,144107.0,2445.0,1202200.0,0.5313851395623116,0.5703100855053054,0600674,,,,,,,4466.0,8275.0,0.0,0.0,0.6000711794872158,0.8438195779131695,0.9949056970599272,0.58400064866073,0.646576654397757,0.5534076827757125,59.10878112712975,36.17300131061599,0.35698447893569846,14.02359108781127,156.61861074705112,99.73787680209699,1.5703022339027595,146.00262123197902,0.2253141831238779,0.09259259259259259,1.0727109515260322,0.30475889499158415,0.25087601461563536,0.7007861865197643,,False,-0.43543458637929316,-0.44991017190412896,-0.44991017190412896,0.6863106009949285,0.07012185636394513,0.18075415825169022
American Canyon,6,55,6210,5710,22390,Napa,6055,american canyon,49,37,220,1194.34,20.0,61.0,1.0875656742556918,112,65,75,194,446,487,305,10,862,1664,795,192,111,54,0,1325,285,1194.34,,,,,,5th_cycle_fallback,0.8564794846532652,0.1435205153467348,741321.8919002583,-0.0246087174298879,3182.6111111111113,,place,6131.0,121700.0,2537.0,692600.0,0.7426519706078825,0.7950301968558389,0601640,2.925407491,1.25,1.0,1.0,0.545454545,2.0,5021.0,11106.0,0.0,0.0,0.0,0.0,0.9999999999999972,0.0,0.0,0.8189528625020388,291.4185639229422,232.04903677758318,0.03245192307692308,138.70402802101577,209.1663747810858,209.1663747810858,1.0,78.10858143607706,1.7825112107623318,1.7118644067796611,2.6778923766816143,0.14352051534673482,-0.5981785013262436,0.4975992707931024,-0.5553883350904147,True,2.3749762558813905,-1.095777772119346,-1.6511661072097608,-2.973154757207634,-0.06240241892971087,-0.5357760823965327
Antioch,6,13,21830,32790,103595,Contra Costa,6013,antioch,85,0,309,5686.0,,76.0,0.6657517535834095,792,456,493,1275,3016,160,359,53,2432,3004,915,40,40,191,2,567,2244,4059.0,1166.0,24.478021978021978,0.34065934065934067,182.0,,6th_cycle,0.9423893835052818,0.0576106164947182,596400.9223614027,-0.0352820337531751,2710.0012113617377,0.0065099543051188,place,38629.0,97465.0,2278.0,629700.0,0.6363928198817581,0.7655502803128514,0602252,,,,,,,23290.0,50291.0,0.0,0.0,0.07473612380489396,0.16757107892515694,0.9999999999999996,0.0,0.010808255346430812,0.6029149084884413,91.61329673681,17.352851479109486,0.06358189081225034,15.827996340347667,123.78774016468435,173.4065263799939,0.7138586000703482,91.97926197011284,0.30338196286472147,0.0641025641025641,1.3458222811671088,0.057610616494718214,-0.7175973376562729,-0.3046722856662656,,False,0.12815565734119247,-0.4129250519900073,-0.4129250519900073,-0.8457529949974654,-0.47025337524350874,-0.24734396241276413
Atherton,6,81,2140,2470,7390,San Mateo,6081,atherton,19,9,48,365.0,1.5757575757575757,140.0,0.8663967611336032,94,54,56,144,348,127,34,36,318,515,280,65,20,252,0,0,263,170.0,3.0,1.0465116279069768,0.2713178294573643,129.0,96.0,6th_cycle,1.0,0.0,8203578.140970655,0.0938843532372235,,,place,2667.0,250001.0,3501.0,2000001.0,0.8756174225415357,0.3796653796653797,0603092,,,,,,,2441.0,2490.0,0.0011097173426699064,0.0011097173426699064,0.24022356567050926,0.26043893635232784,0.9999999999999999,0.17544887928364147,0.15228879177799307,0.9152605924259467,208.50202429149797,0.0,0.4893203883495146,65.18218623481782,68.82591093117409,147.77327935222672,0.4657534246575343,140.8906882591093,0.8045977011494253,0.5743243243243243,0.4885057471264368,0.0,0.8304842640103342,-0.8286371588947097,,False,2.1548693374276895,1.6591214229050437,1.6591214229050437,-1.3243850734173552,-0.7496816195738712,1.5801658835842054
Belmont,6,81,9240,10910,27405,San Mateo,6081,belmont,0,0,138,991.0,11.176470588235292,224.0,0.846929422548121,488,281,283,733,1785,171,245,110,634,1160,288,149,98,160,0,952,48,1385.0,581.0,20.930232558139537,0.16279069767441862,43.0,,6th_cycle,0.8837730428022249,0.116226957197775,2359208.7903664666,0.0241089453241756,3090.373694932519,0.0561396461886944,place,11346.0,205297.0,2875.0,2000001.0,0.5484761904761905,0.5421223982148736,0605108,2.141005305,1.0,1.0,1.0,0.714285714,2.0,6241.0,13233.0,0.048607511824998874,0.048607511824998874,0.25155536886247976,0.26142809630679886,0.9999999999999999,0.0033102304781983992,0.0006487598620720116,0.5500616957518069,106.32447296058662,87.25939505041246,0.13793103448275862,38.13015582034831,126.94775435380384,90.83409715857012,1.3975782038345106,163.61136571952338,0.16134453781512606,0.3211963589076723,0.7759103641456583,0.1162269571977751,-0.08245537125722929,-0.09452710328631327,-0.8214158023664755,True,0.38323022891561376,0.012071732029083973,-0.8093440703373915,-0.46568560017284305,-0.5754895736923333,0.49303420243510404
Belvedere,6,41,320,985,2225,Marin,6041,belvedere,0,0,2,31.0,,31.0,0.3248730964467005,49,28,23,60,160,19,4,26,6,55,44,19,4,47,0,0,8,10.0,0.0,3.3,1.0,10.0,87.0,6th_cycle,0.9376617718861746,0.0623382281138253,4776546.32144566,0.0509002196173951,,,place,1081.0,250001.0,3501.0,2000001.0,0.6794582392776524,0.14925373134328357,0605164,,,,,,,518.0,698.0,0.0,0.0,0.19205915908553609,0.1920591708262034,0.9946613635029046,0.24878192660607645,0.2214114419717546,0.4791859389454209,55.83756345177665,0.0,0.8545454545454545,23.3502538071066,10.152284263959391,31.472081218274113,0.3225806451612903,162.43654822335026,0.275,0.2987012987012987,0.0625,0.06233822811382539,0.49511272969586223,-0.984877909648963,,False,-0.49215367086138767,1.4799906393448252,1.4799906393448252,0.9872664005572499,-0.9324447463152934,1.4275574760111556
Benicia,6,95,14550,10845,27570,Solano,6095,benicia,1,3,17,1191.04,9.5356783919598,257.0,1.3416320885200552,203,117,135,351,806,4,2,26,35,67,35,4,2,52,11,0,4,1832.0,724.0,21.786619718309858,0.7112676056338029,142.0,,6th_cycle,0.1134136102378087,0.8865863897621913,786453.25961638,-0.0064021081537442,2446.116666666667,-0.0091697337095981,place,11571.0,121204.0,2280.0,810000.0,0.6948692426024794,0.40547310179819807,0605290,2.929047554,2.0,1.0,1.0,0.3,3.0,14715.0,13025.0,0.0,0.0,0.0,0.0,1.0000000000000024,0.0,0.0,1.2717137671765621,6.177962194559705,1.0142923005993545,0.7761194029850746,0.5532503457814661,168.92577224527432,109.82388197325956,1.5381515314347125,74.31996311664362,0.043424317617866005,0.01875,2.272952853598015,0.8865863897621913,-0.6742827691934634,1.5718789495063974,1.269101249918799,True,-1.1472793877707654,-2.246161718699861,-0.9770604687810618,0.472996618577302,0.9020393058829066,-1.57632207507637
Berkeley,6,1,116435,52290,127520,Alameda,6001,berkeley,97,29,1214,5372.02,55.32764505119454,823.0,2.2267163893669917,2446,1408,1416,3664,8934,475,373,105,3578,4531,1629,229,214,827,84,3501,119,5372.02,,,,,,5th_cycle_fallback,0.4839128359530328,0.5160871640469672,1451221.9488889177,-0.005931460515984,3135.512732752675,0.0041394829660661,place,54202.0,103727.0,2024.0,1429700.0,0.45911161255275584,0.5428653577589748,0606000,,,,,,,70963.0,44499.0,0.2988541985709492,0.22024646506219717,0.5893874683453415,0.8274988659515796,0.9980958267743136,0.4636150027824864,0.5892567135302,1.3092321316556585,86.65136737425894,68.55995410212277,0.18252041491944382,16.21724995218971,102.73513100019125,102.73513100019125,1.0,170.85484796328168,0.18233713901947615,0.11494551115723924,0.6013006492052833,0.5160871640469672,0.5997085733838345,1.0588442401087295,,False,0.04212161172289212,-0.4591356667248949,-0.4591356667248949,0.5575869616609425,0.7687615160676686,-0.16905294268383408
Brentwood,6,13,10870,16765,52745,Contra Costa,6013,brentwood,2,7,1686,6368.39,,1442.0,0.648374589919475,402,232,247,641,1522,22,34,152,3067,3275,510,20,22,152,93,548,2482,1625.0,499.0,34.166666666666664,0.25,12.0,,6th_cycle,0.943618365377937,0.056381634622063,803155.5617911983,-0.0336582341069218,3231.3098901098906,0.0651297510783455,place,21756.0,142494.0,2758.0,836600.0,0.8223526649448227,0.5779812292970188,0608142,4.179719993,2.0,1.0,1.0,0.266666667,3.0,15677.0,29054.0,0.0,0.0,0.046908235779821617,0.046908235193963636,0.9999999999999989,0.0,2.4954616269974275e-06,0.7205828277256848,195.34745004473606,38.234416940053684,0.046412213740458015,3.3402922755741127,96.92812406799881,379.8622129436326,0.25516653345665075,90.78437220399643,0.33508541392904073,0.06624605678233439,1.0676741130091985,0.056381634622063026,-0.5560151713083379,-0.4730879742346162,1.269101249918799,True,1.9267844216332866,-0.0829271970737217,1.1861740528450773,-2.4827995929416247,0.2659295362667528,-0.8219447075750907
